title,company,location,url,description,source,apply_email,posted_at
Credit Marketing Officer - Branch Bekasi 2 (Harapan Indah),PT BFI Finance Indonesia Tbk (BFI Finance),Jawa Barat,https://www.kitalulus.com/lowongan/detail/credit-marketing-officer-branch-bekasi-2-harapa-ketl,"Requirements: Minimal D3/S1 dari semua jurusan. Memiliki pengalaman minimal 1 tahun di bidang marketing pembiayaan motor baru atau industri terkait. Memiliki kemampuan komunikasi, negosiasi, dan membangun relasi yang baik. Memahami proses akuisisi bisnis dan pengelolaan hubungan dengan dealer menjadi nilai tambah. Berorientasi pada target dan memiliki kemampuan analisis dasar yang baik. Memiliki SIM C, kendaraan pribadi (roda dua) dan bersedia melakukan aktivitas lapangan. Fresh graduate dengan pengalaman organisasi yang baik dipersilakan melamar Job Desc : Bertanggung jawab melakukan akuisisi dan pengelolaan hubungan dengan dealer, mengidentifikasi peluang bisnis baru, serta memastikan pencapaian target pembiayaan melalui eksekusi aktivitas pemasaran dan pengembangan bisnis yang efektif. Melakukan akuisisi dan pengembangan hubungan bisnis dengan dealer/showroom. Mengidentifikasi dan mengembangkan peluang bisnis baru untuk meningkatkan potensi pembiayaan. Menjalin serta memelihara hubungan yang baik dengan dealer/showroom untuk mendukung pertumbuhan bisnis. Menjalankan aktivitas pemasaran dan pengembangan bisnis sesuai dengan strategi yang telah ditetapkan. Memastikan pencapaian target pembiayaan melalui pengelolaan jaringan dealer/showroom dan eksekusi aktivitas bisnis yang efektif. Melakukan monitoring terhadap perkembangan bisnis dan potensi pembiayaan dari dealer/showroom. Menyusun laporan aktivitas dan perkembangan bisnis secara berkala.",Kitalulus,,
Sales Manager,PT. Alfa Retailindo (Trans Property),Jawa Barat,https://www.kitalulus.com/lowongan/detail/sales-manager-ujvn,"Pria/Wanita, Pendidikan minimal S1 dari semua jurusan, diutamakan Pemasaran, Manajemen, Bisnis, atau bidang terkait. Berpenampilan profesional, komunikatif, dan memiliki jiwa kepemimpinan yang kuat. Memiliki integritas tinggi, disiplin, serta mampu bekerja di bawah tekanan dan berorientasi pada target. Memiliki pengalaman minimal 3 tahun sebagai Sales Manager atau Marketing Manager di bidang properti (apartemen, perumahan, komersial, atau developer). Berpengalaman memimpin dan mengembangkan tim sales minimal 10–30 orang. Memiliki rekam jejak pencapaian target penjualan yang dapat dibuktikan. Memahami proses penjualan properti, mulai dari prospecting, closing, hingga serah terima unit. Mampu menyusun strategi penjualan dan marketing secara efektif. Memiliki kemampuan coaching, mentoring, dan evaluasi kinerja tim. Menguasai teknik negosiasi, presentasi, dan closing. Memiliki jaringan (networking) yang luas dengan agen properti, investor, komunitas, maupun institusi. Menguasai digital marketing, media sosial, dan platform pemasaran properti menjadi nilai tambah. Mampu mengoperasikan Microsoft Office (Excel, Word, PowerPoint) dan CRM Sales.",Kitalulus,,
Sales Manager,Rudolf Chemicals(Rudolf Group),Jawa Barat,https://www.kitalulus.com/lowongan/detail/sales-manager-fxbq,"Qualifications : Bachelor's degree in Chemical Engineering, Civil Engineering, Industrial Engineering, Chemistry, or a related field. Minimum of 5 years of experience in B2B sales, including at least 5 years in a managerial position. Proven experience in the Construction Chemicals, Coatings, Building Materials, Specialty Chemicals, or related industries. Strong network with contractors, developers, distributors, applicators, or industrial customers. Excellent leadership, communication, presentation, and negotiation skills. Target-oriented and able to work effectively in a dynamic business environment. Proficient in Microsoft Office; experience with CRM systems is an advantage. Indonesia Driving License (A) Willing to be placed in Jabodetabek area. Responsibilities : Develop and implement sales strategies to achieve the company's sales targets and business objectives. Lead, coach, and develop the sales team to maximize performance and achieve sales goals. Identify new business opportunities and expand the customer network in the construction and coatings industries. Build and maintain strong relationships with contractors, developers, distributors, applicators, and industrial customers. Conduct market analysis, monitor competitors' activities, and identify industry trends to support business growth. Prepare sales forecasts, business reports, and market development plans. Collaborate with the Technical, Marketing, and Operations teams to ensure customer satisfaction and deliver excellent service. Negotiate pricing, contracts, and business agreements with key customers.",Kitalulus,,
Credit Marketing Officer (CMO) - Bandung,PT. Maybank Indonesia Finance,Jawa Barat,https://www.kitalulus.com/lowongan/detail/credit-marketing-officer-cmo-bandung-sqzl,"Deskripsi Pekerjaan : Membangun dan mempertahankan hubungan yang baik dengan dealer dan debitur Menyiapkan dokumen dan data yang diperlukan untuk melakukan survey Melakukan survey kelayakan kredit dan verifikasi legalitas dokumen persyaratan kredit calon debitur Melakukan analisa kelayakan kredit Penempatan Cabang Bandung Kualifikasi : Pendidikan minimal D3 semua jurusan, minimal IPK 2.75 Terbuka untuk fresh graduate maupun yang sudah memiliki pengalaman kerja Memiliki kendaraan bermotor serta SIM C aktif Mampu berkomunikasi dan membina hubungan baik Mempunyai kemampuan analisa yang baik, teliti, kritis, tekun, ulet, loyal dan disiplin Memiliki integritas yang baik Dapat bekerja dibawah tekanan Memiliki pengetahuan memiliki dunia pembiayaan",Kitalulus,,
BRANCH MARKETING MANAGER CABANG MALANG,PT Kresna Reksa Finance,Jawa Timur,https://www.kitalulus.com/lowongan/detail/branch-marketing-manager-cabang-malang-z7pr,"1. Bertanggung jawab atas pencapaian dan kinerja cabang 2. Melakukan perencanaan, monitoring, evaluasi fungsi, pencapaian sales, covering area dan pengelolaan customer untuk memenuhi target penjualan yang ditetapkan 3. Menjalin hubungan sosial dengan baik, terhadap lingkungan internal maupun lingkungan eksternal (aparat /agen/dll) Kualifikasi: Pria, usia maksimal max 45 thn Pendidikan min S1 Pengalaman kerja minimal 4 tahun di leasing / koperasi / BPR Minimal Pernah menjabat min sebagai Head Marketing / Assisten Manager Marketing Menguasai wilayah yang ditempati (Area Malang dan sekitarnya) Memiliki kemampuan leadership & Managerial yang baik Mempunyai kemampuan dalam komunikasi dan negosiasi yang baik TARGET ORIENTED",Kitalulus,,
Marketing Manager - Titipku,Titipku,Banten,https://www.kitalulus.com/lowongan/detail/head-of-marketing-titipku-ijax,"Titipku mencari Head of Marketing untuk memimpin strategi pemasaran 360°, dari performance marketing hingga community building, dengan fokus utama pada ibu rumah tangga di Jabodetabek. Tanggung Jawab: Mengelola & mengoptimasi paid ads (Meta, TikTok, Google Ads) — efisiensi budget, CPA, ROAS Mengelola presence sosial media (IG, TikTok, Threads, FB): konten, kalender, tone of voice Merancang & eksekusi campaign besar (diskon, cashback) lintas touchpoint Membangun strategi CRM & retention (WhatsApp, push notif, email) untuk lifecycle marketing Merencanakan event dari konsep hingga eksekusi Mengelola kolaborasi dengan KOL, kreator, dan brand partner Memimpin brand guidelines, visual identity, dan 360 marketing plan Membangun komunitas loyal di sekitar Titipku Melakukan riset & analisis insight user sebagai dasar keputusan marketing Menetapkan KPI, memantau performa, dan reporting ke leadership Kualifikasi : Min. 2 tahun pengalaman memimpin tim/fungsi marketing Mahir Meta Ads Manager, Google Ads, TikTok Ads Manager (setup, A/B testing, segmentasi, optimasi) Familiar dengan Google Analytics, Meta Business Suite, dan tools reporting lain Paham metrik: CTR, CPM, ROAS, CAC, retention rate, conversion funnel Pernah menggunakan CRM/marketing automation (idealnya WhatsApp berbasis Respond/Qontak) Terbiasa dengan tools konten & kolaborasi: Notion, Google Workspace, Slack Mampu memberi brief desain yang jelas (tak harus bisa desain) Dekat dengan dunia ibu rumah tangga & nyaman turun langsung ke pasar/lapangan Komunikatif, to the point, dan mampu menerjemahkan data jadi insight actionable",Kitalulus,,
sales supervisor,PT SUMBER BARU ANEKA MOBIL,Jawa Barat,https://www.kitalulus.com/lowongan/detail/sales-supervisor-lcjh,"Sales Supervisor Kualifikasi : 1.Sarjana S1/D3 Pengalaman di otomotif khusus penjualan mobil baru min 3 Tahun 2.Keahlian : ?Management team dan penjualan ?Pemahaman tentang produk mobil dan fitur – fitur ?Kemampuan komunikasi dan negosiasi ?Analisis data penjualan dan pemasaran 3.Sertifikasi : terkait dengan penjualan, pemasaran, atau management dapat menjadi nilai tambah. 4.Memiliki team penjualan yang siap di rekrut 5.Lebih di sukai sudah memiliki Team minimal 5 orang / siap merekrut salesman minimal 5 orang saat di terima. Deskripsi Pekerjaan : 1.Mengelola tim penjualan dan memastikan target penjualan tercapai 2.Meningkatkan kepuasa pelanggan dan membangun hubungan dengan pelanggan 3.Mengembangkan strategi penjualan dan pemasaran untuk meningkatkan penjualan 4.Mengawasi operational team penjualan dan memastikan kualitas layanan yang tinggi. Benefit Perusahaan : Gaji UMR BPJS THR Komisi Penjualan Jenjang Karir Reward Trip Luar Negri",Kitalulus,,
Sales and Marketing Manager,PT Nola Jaya Indonesia,Banten,https://www.kitalulus.com/lowongan/detail/sales-and-marketing-manager-1ulg,"Tanggung Jawab Menyusun dan menjalankan strategi marketing & sales bulanan, triwulanan, dan tahunan. Membuat Marketing Calendar berdasarkan musim sunat, liburan sekolah, hari besar, dan kebutuhan cabang. Mengoptimalkan sales funnel dari leads, konsultasi, booking, tindakan, kontrol, hingga referral. Memimpin tim marketing, CSO agar bekerja berdasarkan target dan data. Menentukan dan memantau target leads, booking, pasien baru, omzet, conversion rate, CPL, dan ROI. Mengawasi performa CSO dalam follow-up leads, closing, reminder, dan pelayanan pasca tindakan. Menganalisis performa campaign dan membuat rekomendasi perbaikan berbasis data. Menjaga konsistensi brand di seluruh channel Funnel Rusuhat Mengembangkan partnership dengan sekolah, komunitas, posyandu, lembaga sosial, perusahaan, dan mitra lokal. Merancang dan mengawasi event seperti sunat massal, edukasi komunitas, CFD, aktivasi cabang, dan kolaborasi lokal. Membuat laporan mingguan dan bulanan terkait performa marketing, sales, KPI cabang, insight market, dan rekomendasi strategi. Melakukan coaching, training, evaluasi, dan review performa tim marketing & sales. Berkoordinasi dengan General Manager, Operasional, HR, Keuangan, dan Branch Manager untuk memastikan strategi selaras dengan kapasitas layanan. Kualifikasi : Memiliki ketertarikan di bidang marketing, sales, growth, atau business development. Mau belajar dan siap berkembang bersama tim Rusuhat. Siap bekerja dengan target, data, KPI, dan evaluasi rutin. Memahami atau tertarik mempelajari sales funnel dari leads hingga referral. Tertarik dengan digital marketing, media sosial, konten promosi, dan campaign. Memiliki kemampuan komunikasi, leadership, analisis, dan problem solving yang baik. Mampu bekerja secara mandiri maupun dalam tim. Siap menerima tantangan, turun ke lapangan, dan berkoordinasi dengan beberapa cabang",Kitalulus,,
Sales Supervisor Area - Surabaya,RecruitFirst,Jawa Timur,https://www.kitalulus.com/lowongan/detail/sales-supervisor-area-surabaya-kjpb,"Tanggung Jawab Utama Melakukan survey lapangan untuk memahami kondisi pasar, target jumlah outet, kebutuhan pelanggan, pemain distribusi, dan potensi area penjualan. Memastikan produk tersebar dengan baik di seluruh outlet sesuai target distribusi perusahaan. Memonitor dan mengevaluasi kinerja rekanan distributor dalam aspek penjualan, distribusi, dan penagihan. Mengawasi pelaksanaan branding dan program promosi agar sesuai dengan strategi perusahaan. Menjaga nama baik produk dan perusahaan melalui pelayanan dan hubungan bisnis yang profesional. Melakukan negosiasi dan deal-ing dengan customer baru melalui buyer maupun PIC terkait. Merawat dan Mengembangkan hubungan baik dengan berbagai pihak existing maupun pihak baru yang bekerja sama dengan perusahaan. Berkolaborasi dan Memfasilitasi kebutuhan HO untuk area yang dipegang dengan mengikuti standar dan timeline yang ditentukan. Kualifikasi Pendidikan minimal D3/S1, diutamakan bidang pemasaran/ekonomi/manajemen. Pengalaman minimal 3 tahun di bidang sales/distribusi, lebih baik bila pernah di industri FMCG. Memiliki kemampuan komunikasi, negosiasi, dan leadership yang baik. Mampu bekerja dengan target dan memiliki pemahaman tentang strategi distribusi serta branding. Bersedia melakukan perjalanan dinas ke area penjualan. Menguasai dan Mau belajar lebih jauh untuk dapat menguasai kondisi pasar, demografis, dan potensi dari area yang dipegang Mampu mengoperasikan Software Office seperti: Word, Excel, Google Drive, Email, dan lainnya Mempunyai Kendaraan, minimal kendaraan roda dua (motor) beserta izin mengemudi terkait",Kitalulus,,
Business Development Executive,PT ALBE EMPOWER INDONESIA,Banten,https://www.kitalulus.com/lowongan/detail/business-development-executive-apqt,"Job Description Mencari dan mengembangkan peluang bisnis baru sesuai dengan layanan yang dimiliki perusahaan. Melakukan prospecting kepada calon klien melalui telepon, email, LinkedIn, WhatsApp, networking, dan meeting. Menjadwalkan serta melakukan presentasi perusahaan dan layanan kepada calon klien. Membangun dan menjaga hubungan baik dengan klien untuk menciptakan kerja sama jangka panjang. Mengidentifikasi kebutuhan bisnis klien dan memberikan solusi konsultasi yang sesuai. Menyusun proposal, quotation, dan dokumen kerja sama sesuai kebutuhan klien. Melakukan negosiasi hingga proses penandatanganan kontrak kerja sama. Berkoordinasi dengan tim Recruitment dan Consultant untuk memastikan kebutuhan klien terpenuhi. Melakukan follow up terhadap prospek dan existing client secara berkala. Mencapai target penjualan dan KPI yang telah ditetapkan perusahaan. Membuat laporan aktivitas penjualan, pipeline, dan pencapaian bisnis secara berkala. Mengikuti perkembangan pasar serta melakukan analisis kompetitor untuk mengidentifikasi peluang bisnis baru. Mewakili perusahaan dalam meeting, pameran, atau kegiatan networking apabila diperlukan. Kualifikasi Pendidikan minimal S1 dari semua jurusan, diutamakan Manajemen, Marketing, Komunikasi, atau bidang terkait. Memiliki pengalaman minimal 4-5 tahun sebagai Business Development, Sales B2B, Account Executive, atau posisi serupa. Memiliki kemampuan komunikasi, negosiasi, dan presentasi yang baik. Berorientasi pada target dan mampu bekerja di bawah tekanan. Memiliki kemampuan membangun hubungan (relationship building) dengan klien. Terbiasa melakukan cold calling, canvassing, atau business prospecting menjadi nilai tambah. Mampu mengoperasikan Microsoft Office dan Google Workspace. Memiliki kemampuan analisis bisnis dan problem solving yang baik. Berpenampilan profesional, percaya diri, dan memiliki inisiatif tinggi. Memiliki kendaraan pribadi dan SIM A/C menjadi nilai tambah. Bersedia melakukan perjalanan dinas apabila diperlukan.",Kitalulus,,
